2017-10-09 22:50:51 status half-installed apt-utils:amd64 1.2.20
2017-10-09 22:50:51 status triggers-pending man-db:amd64 2.7.5-1
2017-10-09 22:50:51 status half-installed apt-utils:amd64 1.2.20
2017-10-09 22:50:51 status unpacked apt-utils:amd64 1.2.24
2017-10-09 22:50:51 status unpacked apt-utils:amd64 1.2.24
2017-10-09 22:50:51 upgrade libpython3.5:amd64 3.5.2-2ubuntu0~16.04.1 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:51 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2017-10-09 22:50:51 status half-configured libpython3.5:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:51 status unpacked libpython3.5:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:51 status half-installed libpython3.5:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:51 status half-installed libpython3.5:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:51 status unpacked libpython3.5:amd64 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:51 status unpacked libpython3.5:amd64 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:51 upgrade python3.5:amd64 3.5.2-2ubuntu0~16.04.1 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:51 status half-configured python3.5:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:51 status unpacked python3.5:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:51 status half-installed python3.5:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:51 status triggers-pending mime-support:all 3.59ubuntu1
2017-10-09 22:50:51 status half-installed python3.5:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:51 status unpacked python3.5:amd64 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:51 status unpacked python3.5:amd64 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:51 upgrade libpython3.5-stdlib:amd64 3.5.2-2ubuntu0~16.04.1 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:51 status half-configured libpython3.5-stdlib:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:51 status unpacked libpython3.5-stdlib:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:51 status half-installed libpython3.5-stdlib:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:52 status half-installed libpython3.5-stdlib:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:52 status unpacked libpython3.5-stdlib:amd64 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:52 status unpacked libpython3.5-stdlib:amd64 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:52 upgrade python3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.1 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:52 status half-configured python3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:52 status unpacked python3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:52 status half-installed python3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:52 status half-installed python3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:52 status unpacked python3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:52 status unpacked python3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:52 upgrade libpython3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.1 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:52 status half-configured libpython3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:52 status unpacked libpython3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:52 status half-installed libpython3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:52 status half-installed libpython3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.1
2017-10-09 22:50:52 status unpacked libpython3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:52 status unpacked libpython3.5-minimal:amd64 3.5.2-2ubuntu0~16.04.3
2017-10-09 22:50:52 upgrade grub-pc:amd64 2.02~beta2-36ubuntu3.11 2.02~beta2-36ubuntu3.12
2017-10-09 22:50:52 status half-configured grub-pc:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:52 status unpacked grub-pc:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:52 status half-installed grub-pc:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:52 status half-installed grub-pc:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:52 status unpacked grub-pc:amd64 2.02~beta2-36ubuntu3.12
2017-10-09 22:50:52 status unpacked grub-pc:amd64 2.02~beta2-36ubuntu3.12
2017-10-09 22:50:52 upgrade grub-pc-bin:amd64 2.02~beta2-36ubuntu3.11 2.02~beta2-36ubuntu3.12
2017-10-09 22:50:52 status half-configured grub-pc-bin:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:52 status unpacked grub-pc-bin:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:52 status half-installed grub-pc-bin:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:52 status half-installed grub-pc-bin:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:53 status unpacked grub-pc-bin:amd64 2.02~beta2-36ubuntu3.12
2017-10-09 22:50:53 status unpacked grub-pc-bin:amd64 2.02~beta2-36ubuntu3.12
2017-10-09 22:50:53 upgrade grub2-common:amd64 2.02~beta2-36ubuntu3.11 2.02~beta2-36ubuntu3.12
2017-10-09 22:50:53 status half-configured grub2-common:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:53 status unpacked grub2-common:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:53 status half-installed grub2-common:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:53 status triggers-pending install-info:amd64 6.1.0.dfsg.1-5
2017-10-09 22:50:53 status half-installed grub2-common:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:53 status unpacked grub2-common:amd64 2.02~beta2-36ubuntu3.12
2017-10-09 22:50:53 status unpacked grub2-common:amd64 2.02~beta2-36ubuntu3.12
2017-10-09 22:50:53 upgrade grub-common:amd64 2.02~beta2-36ubuntu3.11 2.02~beta2-36ubuntu3.12
2017-10-09 22:50:53 status half-configured grub-common:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:53 status unpacked grub-common:amd64 2.02~beta2-36ubuntu3.11
2017-10-09 22:50:53 status half-installed grub-common:amd64 2.02~beta2-36ubuntu3.11
